model,dataset,backbone,train_time,test_time,subdataset,image_AUROC,pixel_AUPRO
efficientad,visa,resnet18,43.051265001297,15.436529636383057,cashew,0.8964,0.7966730950508976
efficientad,mvtec_ad,resnet18,33.03010368347168,3.344238042831421,bottle,0.9873015873015873,0.7020235440804647
efficientad,mvtec_ad,resnet18,32.52315354347229,3.4555811882019043,bottle,0.9888888888888889,0.6943312553216049
efficientad,mvtec_ad,resnet18,32.284748554229736,3.4475290775299072,bottle,0.9880952380952381,0.6942550245295527
efficientad,mvtec_ad,resnet18,42.80830979347229,29.50466537475586,cable,0.795352323838081,0.36876196095698405
efficientad,mvtec_ad,resnet18,42.02272629737854,24.32632827758789,capsule,0.6685281212604707,0.6469834607947643
efficientad,mvtec_ad,resnet18,49.37146329879761,24.649065256118774,carpet,0.9943820224719101,0.9200947235126755
efficientad,mvtec_ad,resnet18,41.42041778564453,10.659528493881226,grid,0.981203007518797,0.6675632427744503
efficientad,mvtec_ad,resnet18,56.85487413406372,28.146191596984863,hazelnut,0.9628571428571429,0.8100779767908113
efficientad,mvtec_ad,resnet18,42.86766314506531,29.261135578155518,leather,0.9993206521739131,0.9819200573948005
efficientad,mvtec_ad,resnet18,36.2746217250824,14.174861431121826,metal_nut,0.8597262952101662,0.39468920474713126
efficientad,mvtec_ad,resnet18,41.657503604888916,22.806017875671387,pill,0.7935079105291871,0.7328203762660175
efficientad,mvtec_ad,resnet18,45.27712154388428,19.133556604385376,screw,0.5798319327731093,0.4251609871333597
efficientad,mvtec_ad,resnet18,43.136484146118164,16.96167516708374,tile,0.9808802308802309,0.6936405580927779
efficientad,mvtec_ad,resnet18,34.91656970977783,8.233445167541504,toothbrush,0.8972222222222223,0.6984418396162074
efficientad,mvtec_ad,resnet18,43.57466912269592,18.054133653640747,transistor,0.77,0.28779050707586007
efficientad,mvtec_ad,resnet18,47.41154217720032,15.816967725753784,wood,0.9947368421052631,0.883285983680074
efficientad,mvtec_ad,resnet18,41.589635133743286,18.146574020385742,zipper,0.8568802521008403,0.7218094387663034
efficientad,visa,resnet18,72.93446946144104,19.465623140335083,candle,0.8445,0.662509003300226
efficientad,visa,resnet18,57.40516376495361,18.518638849258423,capsules,0.7121666666666666,0.3349559846671703
efficientad,visa,resnet18,43.492884397506714,4.666729211807251,cashew,0.8938,0.8129073480591675
efficientad,visa,resnet18,52.02217149734497,14.480576753616333,chewinggum,0.982,0.4525018893626581
efficientad,visa,resnet18,49.91407775878906,12.660934448242188,fryum,0.9236,0.6162175039641062
efficientad,visa,resnet18,73.78563714027405,19.20975375175476,macaroni1,0.8358,0.5294861495668065
efficientad,visa,resnet18,68.75560665130615,19.062302827835083,macaroni2,0.6804,0.2631338193208698
efficientad,visa,resnet18,79.27768683433533,22.599250316619873,pcb1,0.8262,0.5593886769817351
efficientad,visa,resnet18,80.25045394897461,31.249964952468872,pcb2,0.9186,0.4660372955617314
efficientad,visa,resnet18,81.87021708488464,25.555477380752563,pcb3,0.7553465346534654,0.31927622312448395
efficientad,visa,resnet18,74.06009912490845,24.20847749710083,pcb4,0.9101980198019802,0.3354661238900802
efficientad,visa,resnet18,47.25128531455994,20.05613946914673,pipe_fryum,0.9722,0.7986058358875328
